  route: '/socket.io/?EIO=4&transport=polling&t=O67WGld',
  method: '[GET]'
}
[2022-06-21T13:23:16.304] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WIDC',
  method: '[GET]'
}
[2022-06-21T13:23:22.314] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WJh9',
  method: '[GET]'
}
[2022-06-21T13:23:28.312] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WL8r',
  method: '[GET]'
}
[2022-06-21T13:23:34.310] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WMcY',
  method: '[GET]'
}
[2022-06-21T13:23:40.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WO4Q',
  method: '[GET]'
}
[2022-06-21T13:23:46.311] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WPY3',
  method: '[GET]'
}
[2022-06-21T13:23:52.305] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WQ_l',
  method: '[GET]'
}
[2022-06-21T13:23:58.312] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WSTd',
  method: '[GET]'
}
[2022-06-21T13:24:04.318] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WTxR',
  method: '[GET]'
}
[2022-06-21T13:24:10.305] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WVO_',
  method: '[GET]'
}
[2022-06-21T13:24:16.314] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WWsw',
  method: '[GET]'
}
[2022-06-21T13:24:22.313] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WYKX',
  method: '[GET]'
}
[2022-06-21T13:24:28.312] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WZoK',
  method: '[GET]'
}
[2022-06-21T13:24:34.314] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WbG4',
  method: '[GET]'
}
[2022-06-21T13:24:37.078] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:24:40.320] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Wcjz',
  method: '[GET]'
}
[2022-06-21T13:25:08.356] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Wj42',
  method: '[GET]'
}
[2022-06-21T13:25:14.317] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Wl1D',
  method: '[GET]'
}
[2022-06-21T13:25:20.310] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WmUr',
  method: '[GET]'
}
[2022-06-21T13:25:25.970] [INFO] infoFile - { route: '/user', method: '[GET]' }
[2022-06-21T13:25:26.311] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Wnyd',
  method: '[GET]'
}
[2022-06-21T13:25:33.445] [INFO] infoFile - { route: '/user', method: '[GET]' }
[2022-06-21T13:25:54.101] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67WuIy',
  method: '[GET]'
}
[2022-06-21T13:25:59.297] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67Ww06',
  method: '[GET]'
}
[2022-06-21T13:25:59.988] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
